"","makespan","totalCosts","vmType","provisioningRate","numVmsStart","numVmsTotal","numVmsUnused","capacityInterruptionRate","numInterruptions","daxFiles","schedulingPlanningAlgorithm","makespan","totalCosts","vmType","provisioningRate","numVmsStart","numVmsTotal","numVmsUnused","capacityInterruptionRate","numInterruptions","daxFiles","schedulingPlanningAlgorithm"
"194",175.652547385621,0.0421,"SPOT",1,6,7,0,0.25,1,"Montage_1000.xml|","EVOLUTION",178.009377791619,0.0654,"SPOT",1,6,8,0,0.3,0,"Montage_1000.xml|","EVOLUTION"
"195",178.451130618401,0.1349,"SPOT",1,6,9,0,0.25,2,"Montage_1000.xml|","EVOLUTION",177.528939190548,0.0403,"SPOT",1,6,7,0,0.3,0,"Montage_1000.xml|","EVOLUTION"
"196",180.938031283865,0.0465,"SPOT",1,6,8,0,0.25,0,"Montage_1000.xml|","EVOLUTION",178.403526747109,0.0573,"SPOT",1,6,8,0,0.3,1,"Montage_1000.xml|","EVOLUTION"
"197",184.14700331825,0.1138,"SPOT",1,6,9,0,0.25,1,"Montage_1000.xml|","EVOLUTION",181.348592026259,0.0559,"SPOT",1,6,9,0,0.3,1,"Montage_1000.xml|","EVOLUTION"
"198",174.090238486677,0.0367,"SPOT",1,6,6,0,0.25,0,"Montage_1000.xml|","EVOLUTION",176.847508547009,0.0487,"SPOT",1,6,8,0,0.3,2,"Montage_1000.xml|","EVOLUTION"
"205",178.075002916038,0.0526,"SPOT",1,6,8,0,0.25,2,"Montage_1000.xml|","EVOLUTION",177.037771995978,0.0432,"SPOT",1,6,7,0,0.3,1,"Montage_1000.xml|","EVOLUTION"
"206",176.977375490196,0.0556,"SPOT",1,6,8,0,0.25,2,"Montage_1000.xml|","EVOLUTION",175.652205354449,0.0456,"SPOT",1,6,7,0,0.3,0,"Montage_1000.xml|","EVOLUTION"
"207",178.030991199029,0.101,"SPOT",1,6,8,0,0.25,0,"Montage_1000.xml|","EVOLUTION",176.545584313725,0.0509,"SPOT",1,6,8,0,0.3,1,"Montage_1000.xml|","EVOLUTION"
"208",179.50270678733,0.0564,"SPOT",1,6,8,0,0.25,2,"Montage_1000.xml|","EVOLUTION",177.655142411973,0.1259,"SPOT",1,6,9,0,0.3,2,"Montage_1000.xml|","EVOLUTION"
"209",173.640698441428,0.0366,"SPOT",1,6,6,0,0.25,0,"Montage_1000.xml|","EVOLUTION",174.63826025641,0.0369,"SPOT",1,6,6,0,0.3,0,"Montage_1000.xml|","EVOLUTION"
"210",179.516557274451,0.0589,"SPOT",1,6,9,0,0.25,3,"Montage_1000.xml|","EVOLUTION",173.703238310709,0.0366,"SPOT",1,6,6,0,0.3,0,"Montage_1000.xml|","EVOLUTION"
"217",174.090231900452,0.0438,"SPOT",1,6,8,0,0.25,0,"Montage_1000.xml|","EVOLUTION",172.635733785822,0.0364,"SPOT",1,6,6,0,0.3,0,"Montage_1000.xml|","EVOLUTION"
"218",180.937151759678,0.1031,"SPOT",1,6,9,0,0.25,3,"Montage_1000.xml|","EVOLUTION",181.995180633644,0.0966,"SPOT",1,6,8,0,0.3,2,"Montage_1000.xml|","EVOLUTION"
"219",178.886591201609,0.0978,"SPOT",1,6,9,0,0.25,3,"Montage_1000.xml|","EVOLUTION",177.641808572147,0.1006,"SPOT",1,6,8,0,0.3,2,"Montage_1000.xml|","EVOLUTION"
"220",180.885596789626,0.0949,"SPOT",1,6,9,0,0.25,0,"Montage_1000.xml|","EVOLUTION",177.389343288084,0.0887,"SPOT",1,6,7,0,0.3,0,"Montage_1000.xml|","EVOLUTION"
"221",180.663385872298,0.0525,"SPOT",1,6,8,0,0.25,1,"Montage_1000.xml|","EVOLUTION",175.190875414781,0.0461,"SPOT",1,6,7,0,0.3,1,"Montage_1000.xml|","EVOLUTION"
"222",174.643936475616,0.0762,"SPOT",1,6,9,0,0.25,0,"Montage_1000.xml|","EVOLUTION",181.232728808447,0.0467,"SPOT",1,6,8,0,0.3,2,"Montage_1000.xml|","EVOLUTION"
"229",175.210526998492,0.0454,"SPOT",1,6,7,0,0.25,1,"Montage_1000.xml|","EVOLUTION",172.635733785822,0.0364,"SPOT",1,6,6,0,0.3,0,"Montage_1000.xml|","EVOLUTION"
"230",173.682927928607,0.0367,"SPOT",1,6,6,0,0.25,0,"Montage_1000.xml|","EVOLUTION",178.023008496732,0.0905,"SPOT",1,6,7,0,0.3,0,"Montage_1000.xml|","EVOLUTION"
